
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Sofyan Amrabat,Feyenoord,Midfielder,19,1,0,38,0,11,84,17,50,1,1,3,0,115,
Jens Toornstra,Feyenoord,Midfielder,28,400,8,54,0,49,80,17,27,1,0,3,0,222,
Emil Hansson,Feyenoord,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordy Wehrmann,Feyenoord,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michiel Kramer,Sparta Rotterdam,Forward,7,161,2,62,0,9,64,14,54,3,1,0,0,55.25,
Jean-Paul Boëtius,Feyenoord,Forward,26,503,6,49,0,37,79,17,53,1,0,0,0,205.25,
Nicolai Jørgensen,Feyenoord,Forward,24,442,9,71,0,34,76,13,46,1,0,3,1,208.5,
Sam Larsson,Feyenoord,Forward,18,497,3,46,0,36,76,16,51,2,0,0,0,147.0,
Bilal Basacikoglu,Feyenoord,Forward,10,73,1,38,0,8,81,19,49,1,0,0,1,60.0,
Steven Berghuis,Feyenoord,Forward,29,1178,14,52,0,61,79,19,54,1,0,6,1,275.25,
Robin van Persie,Feyenoord,Forward,9,109,4,63,0,3,80,18,34,0,0,0,0,69.75,
Dylan Vente,Feyenoord,Forward,7,52,1,33,0,3,77,14,48,0,0,0,0,40.75,
Cheick Toure,Feyenoord,Forward,1,6,0,0,0,1,82,12,0,0,0,0,0,5.25,
Dan-Axel Zagadou,Borussia Dortmund,Defender,11,178,1,29,0,2,81,18,57,3,1,0,1,77.5,
Neven Subotic,St Etienne,Defender,10,257,2,60,0,4,85,22,52,7,0,1,0,91.0,
Marc Bartra,Real Betis,Defender,11,307,0,0,0,2,86,22,60,9,0,4,0,91.5,
Raphael Guerreiro,Borussia Dortmund,Defender,8,128,1,80,0,6,84,17,49,2,0,0,0,61.5,
Jeremy Toljan,Borussia Dortmund,Defender,14,206,1,33,0,11,83,16,52,4,0,1,0,106.75,
Manuel Akanji,Borussia Dortmund,Defender,6,2,0,0,0,0,82,21,52,4,2,2,0,42.0,
Jan-Niklas Beste,Borussia Dortmund,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Sokratis,Borussia Dortmund,Defender,25,620,2,43,0,5,87,22,57,5,0,3,1,172.25,
Lukasz Piszczek,Borussia Dortmund,Defender,18,410,0,36,0,14,82,18,54,5,0,1,0,131.5,
Marcel Schmelzer,Borussia Dortmund,Defender,15,100,0,0,0,9,82,16,52,6,0,3,0,108.25,
Ömer Toprak,Borussia Dortmund,Defender,21,727,0,13,0,5,90,20,62,6,1,1,0,151.25,
Erik Durm,Borussia Dortmund,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Nuri Sahin,Borussia Dortmund,Midfielder,16,375,2,50,0,19,85,18,48,3,1,2,0,130,
Mario Götze,Borussia Dortmund,Midfielder,18,278,2,78,0,31,82,14,50,1,0,1,0,141,
Sebastian Rode,Borussia Dortmund,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mahmoud Dahoud,Borussia Dortmund,Midfielder,20,118,0,29,0,22,85,17,31,1,0,4,0,122,
André Schürrle,Borussia Dortmund,Midfielder,13,123,1,43,0,16,78,15,47,1,1,0,0,93,
Christian Pulisic,Borussia Dortmund,Midfielder,26,253,4,52,0,26,80,15,44,1,0,1,0,183,
Shinji Kagawa,Borussia Dortmund,Midfielder,18,444,5,53,0,22,87,17,45,1,0,0,0,148,
Gonzalo Castro,Borussia Dortmund,Midfielder,18,144,0,25,0,36,86,18,33,1,1,2,0,129,
Julian Weigl,Borussia Dortmund,Midfielder,20,332,1,33,0,5,86,18,48,3,2,3,0,132,
Andriy Yarmolenko,Borussia Dortmund,Forward,16,272,3,50,0,26,79,16,41,1,0,0,0,127.5,
Marco Reus,Borussia Dortmund,Forward,5,82,2,43,0,8,78,14,43,1,0,0,0,43.0,
Alexander Isak,Borussia Dortmund,Forward,5,12,0,0,0,2,75,11,31,0,0,0,0,21.5,
Maximilian Philipp,Borussia Dortmund,Forward,16,352,7,46,0,13,72,13,54,1,0,0,0,123.25,
Jacob Bruun Larsen,Borussia Dortmund,Forward,1,6,0,0,0,0,100,20,25,0,0,0,0,4.0,
Michy Batshuayi,Borussia Dortmund,Forward,8,198,7,67,0,4,71,14,36,0,0,1,0,75.0,
Niklas Süle,FC Bayern München,Defender,22,567,1,20,0,3,93,21,56,4,0,1,0,146.75,
Mats Hummels,FC Bayern München,Defender,22,728,1,23,0,5,87,22,57,5,1,1,0,153.25,
Javi Martínez,FC Bayern München,Defender,19,496,1,12,0,8,88,19,55,5,1,1,0,137.0,
Rafinha,FC Bayern München,Defender,22,452,0,50,0,17,89,18,47,3,0,4,0,138.25,
Juan Bernat,FC Bayern München,Defender,8,69,0,0,0,7,91,16,45,2,0,0,0,54.75,
Jérôme Boateng,FC Bayern München,Defender,18,501,1,38,0,12,87,25,48,5,1,4,0,125.0,
Felix Götze,FC Bayern München,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
David Alaba,FC Bayern München,Defender,22,479,1,31,0,19,89,16,41,2,0,1,0,138.75,
Marco Friedl,FC Bayern München,Defender,1,26,0,0,0,3,90,19,50,1,0,0,0,11.75,
Thiago Alcántara,FC Bayern München,Midfielder,14,470,1,27,0,23,91,19,51,2,0,3,0,114,
Franck Ribéry,FC Bayern München,Midfielder,19,451,5,63,0,32,87,17,53,1,0,3,0,164,
Arjen Robben,FC Bayern München,Midfielder,20,628,5,57,0,32,85,17,50,0,0,0,0,164,
James Rodríguez,FC Bayern München,Midfielder,19,753,6,57,0,48,90,19,44,1,0,2,0,183,
Sebastian Rudy,FC Bayern München,Midfielder,20,245,0,27,0,15,89,18,48,1,0,2,0,127,
Arturo Vidal,FC Bayern München,Midfielder,22,580,6,61,0,26,89,18,40,2,1,6,0,176,
Corentin Tolisso,FC Bayern München,Midfielder,22,601,4,52,0,15,90,18,45,1,0,3,0,156,
Niklas Dorsch,FC Bayern München,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joshua Kimmich,FC Bayern München,Midfielder,25,770,1,43,0,49,90,20,56,3,0,1,0,212,
Timothy Tillman,FC Bayern München,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Renato Sanches,Swansea City,Midfielder,12,16,0,0,0,6,83,17,49,1,1,1,0,74,
Fabian Benko,FC Bayern München,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mario Crnicki,FC Bayern München,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Robert Lewandowski,FC Bayern München,Forward,26,884,26,53,0,20,79,14,39,1,0,1,0,265.0,
Sandro Wagner,FC Bayern München,Forward,9,142,5,58,0,1,73,16,38,0,0,1,0,67.25,
Thomas Müller,FC Bayern München,Forward,25,389,7,47,0,47,76,16,42,1,1,4,0,208.75,
Kingsley Coman,FC Bayern München,Forward,21,483,3,68,0,22,86,17,60,0,0,0,0,161.5,
Milos Pantovic,FC Bayern München,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Diego Godín,Atlético de Madrid,Defender,26,515,0,27,0,4,86,22,42,7,1,5,0,145.0,
Filipe Luís,Atlético de Madrid,Defender,17,487,1,40,0,17,85,16,56,3,0,3,0,130.25,
Stefan Savic,Atlético de Madrid,Defender,20,330,0,100,0,2,83,23,42,8,1,5,0,117.5,
Sime Vrsaljko,Atlético de Madrid,Defender,16,119,0,0,0,9,74,18,42,5,0,7,0,95.25,
Lucas Hernández,Atlético de Madrid,Defender,22,442,0,0,0,3,82,16,56,5,0,4,0,140.75,
Juanfran,Atlético de Madrid,Defender,12,125,0,0,0,6,81,16,34,4,0,3,0,67.5,
José Giménez,Atlético de Madrid,Defender,20,282,1,11,0,5,81,24,58,7,1,4,0,146.25,
Sergi González,Atlético de Madrid,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Thomas Partey,Atlético de Madrid,Midfielder,28,455,3,21,0,9,84,17,51,3,1,5,0,187,
Koke,Atlético de Madrid,Midfielder,28,253,3,63,0,41,84,17,47,2,0,3,0,212,
Saúl Ñíguez,Atlético de Madrid,Midfielder,30,343,2,27,0,19,83,16,42,4,0,9,0,197,
Yannick Carrasco,Atlético de Madrid,Midfielder,17,168,3,59,0,17,79,14,45,1,0,3,0,121,
Augusto Fernández,Atlético de Madrid,Midfielder,5,4,0,0,0,1,80,21,47,1,0,1,0,31,
Gabi,Atlético de Madrid,Midfielder,27,123,0,20,0,13,86,18,32,3,0,6,0,158,
Nicolás Gaitán,Atlético de Madrid,Midfielder,6,33,0,75,0,5,79,16,46,1,0,0,0,41,
Vitolo,Atlético de Madrid,Midfielder,8,97,1,50,0,1,84,13,33,1,0,1,1,47,
Juan Moreno,Atlético de Madrid,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antoine Griezmann,Atlético de Madrid,Forward,27,918,18,66,0,40,78,15,47,1,0,6,1,264.0,
Luciano Vietto,Valencia CF,Forward,8,1,1,67,0,5,79,15,36,1,0,1,0,54.25,
Fernando Torres,Atlético de Madrid,Forward,20,69,2,45,0,5,57,13,53,0,0,0,0,105.25,
Ángel Correa,Atlético de Madrid,Forward,31,37,7,69,0,22,74,14,40,1,0,3,0,224.5,
Diego Costa,Atlético de Madrid,Forward,12,11,3,50,0,11,75,12,42,1,0,5,1,78.75,
Kevin Gameiro,Atlético de Madrid,Forward,20,191,6,92,0,6,77,12,34,1,0,0,0,155.5,
Lionel Carole,Sevilla,Defender,6,69,0,50,0,3,82,17,50,7,0,0,0,56.75,
Sébastien Corchia,Sevilla,Defender,12,2,0,60,0,5,80,17,49,4,0,4,0,77.25,
Simon Kjaer,Sevilla,Defender,19,251,1,20,0,2,84,20,52,8,0,3,0,132.5,
Clément Lenglet,Sevilla,Defender,29,282,3,50,0,2,84,20,49,6,1,8,0,182.5,
Daniel Carriço,Sevilla,Defender,4,49,0,0,0,1,86,20,48,6,0,1,0,38.25,
Guilherme Arana,Sevilla,Defender,3,12,0,0,0,0,87,13,38,5,0,0,0,28.0,
Sergio Escudero,Sevilla,Defender,22,115,0,36,0,10,81,17,50,5,1,7,0,137.5,
Miguel Layún,Sevilla,Defender,10,6,1,33,0,7,78,19,49,5,0,1,0,80.75,
Nico Pareja,Sevilla,Defender,3,37,0,0,0,0,87,23,41,8,0,1,0,37.0,
Gabriel Mercado,Sevilla,Defender,20,164,0,45,0,8,83,18,44,6,1,7,0,119.0,
Roque Mesa,Sevilla,Midfielder,2,25,0,0,0,0,86,16,33,0,0,2,0,7,
Walter Montoya,Sevilla,Midfielder,1,23,0,0,0,1,70,17,36,3,0,0,0,23,
Éver Banega,Sevilla,Midfielder,26,313,2,50,0,48,88,20,53,1,3,6,1,198,
Ganso,Sevilla,Midfielder,8,79,2,50,0,8,81,14,46,1,0,0,0,65,
Joaquín Correa,Sevilla,Midfielder,19,39,1,35,0,21,85,14,47,1,0,5,0,127,
Johannes Geis,Sevilla,Midfielder,11,63,0,0,0,2,84,21,48,3,1,0,0,78,
Michael Krohn-Dehli,Deportivo de La Coruña,Midfielder,5,42,0,0,0,1,84,17,24,2,0,2,0,34,
Guido Pizarro,Sevilla,Midfielder,21,158,1,38,0,6,86,16,42,3,0,8,0,130,
Steven N'Zonzi,Sevilla,Midfielder,22,502,0,29,0,11,88,16,60,3,1,2,0,152,
Jesús Navas,Sevilla,Midfielder,23,66,1,36,0,23,76,17,44,2,0,2,0,153,
Pablo Sarabia,Sevilla,Midfielder,28,333,6,67,0,41,78,16,39,2,1,3,1,214,
Franco Vázquez,Sevilla,Midfielder,24,10,4,30,0,32,74,15,48,1,0,5,0,174,
Borja Lasso,Sevilla,Midfielder,1,8,0,0,0,1,74,16,10,0,0,0,0,5,
Wissam Ben Yedder,Sevilla,Forward,21,246,6,67,0,22,79,12,35,0,0,1,0,168.5,
Luis Muriel,Sevilla,Forward,25,88,7,45,0,16,75,13,32,0,1,4,0,169.0,
Sandro Ramírez,Sevilla,Forward,6,17,0,50,0,2,82,14,40,1,0,0,0,33.5,
Nolito,Sevilla,Forward,24,128,3,52,0,23,71,15,48,1,0,4,0,157.75,
Carlos Fernández,Sevilla,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Alec Georgen,AZ,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Kevin Rimane,Paris Saint-Germain,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Thiago Silva,Paris Saint-Germain,Defender,23,860,1,33,0,4,96,18,54,6,0,4,0,153.0,
Presnel Kimpembe,Paris Saint-Germain,Defender,23,615,0,44,0,3,95,17,56,4,0,6,2,134.75,
Marquinhos,Paris Saint-Germain,Defender,21,619,0,0,0,3,93,19,54,6,2,1,0,137.75,
Thomas Meunier,Paris Saint-Germain,Defender,18,398,4,71,0,13,85,14,44,3,1,2,0,135.25,
Yuri,Paris Saint-Germain,Defender,18,474,2,50,0,14,90,12,60,3,0,4,0,142.5,
Layvin Kurzawa,Paris Saint-Germain,Defender,18,331,2,18,0,11,86,12,44,4,2,1,0,124.75,
Dani Alves,Paris Saint-Germain,Defender,22,629,1,28,0,41,88,14,46,2,0,7,1,164.25,
Lorenzo Callegari,Paris Saint-Germain,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marco Verratti,Paris Saint-Germain,Midfielder,22,470,0,14,0,28,91,15,53,2,3,9,1,151,
Gonçalo Guedes,Portugal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thiago Motta,Paris Saint-Germain,Midfielder,14,253,1,50,0,9,94,16,35,3,0,3,1,99,
Ángel Di María,Paris Saint-Germain,Midfielder,26,822,9,56,0,44,80,16,45,1,0,1,0,227,
Giovani Lo Celso,Paris Saint-Germain,Midfielder,28,416,1,50,0,16,90,16,50,1,0,2,0,179,
Lass Diarra,Paris Saint-Germain,Midfielder,7,81,0,0,0,4,93,18,43,2,0,4,0,49,
Grzegorz Krychowiak,West Bromwich Albion,Midfielder,23,159,0,25,0,13,80,19,47,3,0,2,0,148,
Hatem Ben Arfa,Paris Saint-Germain,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Julian Draxler,Paris Saint-Germain,Midfielder,26,635,3,57,0,24,93,15,48,1,0,1,0,187,
Christopher Nkunku,Paris Saint-Germain,Midfielder,14,153,3,82,0,3,92,15,31,0,0,0,0,89,
Adrien Rabiot,Paris Saint-Germain,Midfielder,28,745,1,29,0,25,92,15,47,2,1,2,0,193,
Javier Pastore,Paris Saint-Germain,Midfielder,19,306,4,42,0,17,84,13,42,1,0,1,0,139,
Edinson Cavani,Paris Saint-Germain,Forward,28,1116,24,62,0,31,81,13,44,1,0,3,0,287.75,
Neymar,Paris Saint-Germain,Forward,20,1669,20,63,0,71,79,15,63,0,0,5,1,271.75,
Kylian Mbappe,Paris Saint-Germain,Forward,23,780,13,53,0,44,83,12,59,0,0,2,0,229.0,
Dinis Almeida,Monaco,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Raphael Diarra,Monaco,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Terence Kongolo,Huddersfield Town,Defender,8,93,0,0,0,1,76,19,69,7,0,0,0,74.25,
Jemerson,Monaco,Defender,29,627,2,18,0,2,88,21,47,8,1,8,0,178.5,
Jorge,Monaco,Defender,20,360,1,50,0,12,77,17,46,7,0,8,0,135.0,
Djibril Sidibe,Monaco,Defender,24,447,2,62,0,31,85,16,47,4,1,4,0,181.75,
Pierre-Daniel Nguind..,Monaco,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Andrea Raggi,Monaco,Defender,17,66,1,50,0,2,79,20,36,5,0,1,0,96.5,
Kamil Glik,Monaco,Defender,31,599,3,42,0,7,81,23,47,10,2,8,0,207.75,
Kevin N'Doram,Monaco,Defender,8,1,0,50,0,1,89,17,37,2,0,2,0,40.25,
Almamy Touré,Monaco,Defender,14,26,0,0,0,9,71,17,39,4,0,3,0,84.25,
Fabinho,Monaco,Midfielder,29,663,6,47,0,30,87,19,48,4,0,6,0,233,
Rachid Ghezzal,Monaco,Midfielder,23,75,2,54,0,14,77,16,43,1,1,2,0,143,
João Moutinho,Monaco,Midfielder,27,429,1,38,0,45,87,18,36,3,0,5,0,200,
Youri Tielemans,Monaco,Midfielder,22,74,0,53,0,12,81,18,41,2,1,1,0,134,
Soualiho Meité,Monaco,Midfielder,2,3,0,0,0,1,81,17,31,3,0,0,0,28,
Rony Lopes,Monaco,Midfielder,32,192,12,60,0,33,77,15,37,1,0,1,0,253,
Gabriel Boschilia,Monaco,Midfielder,4,17,0,100,0,0,100,9,20,0,0,0,0,20,
Thomas Lemar,Monaco,Midfielder,24,293,2,31,0,44,85,19,47,1,1,1,0,186,
Adama Traoré,Monaco,Midfielder,3,119,3,80,0,1,85,18,65,1,0,1,0,38,
Lacina Traoré,Amiens,Forward,16,22,0,57,0,9,54,14,49,2,0,1,0,86.25,
Falcao,Monaco,Forward,23,453,18,59,0,12,78,13,41,1,0,1,0,210.0,
Stevan Jovetic,Monaco,Forward,15,225,8,56,0,8,68,14,39,0,0,1,0,117.0,
Guido Carrillo,Southampton,Forward,7,16,0,57,0,4,67,11,33,1,0,0,0,40.0,
Keita,Monaco,Forward,23,219,8,48,0,15,76,13,47,0,0,3,1,161.75,
Adama Diakhaby,Monaco,Forward,19,25,2,44,0,8,76,15,35,1,0,1,0,112.0,
Jordi Mboula,Monaco,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Moussa Sylla,Monaco,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mattia De Sciglio,Juventus,Defender,11,419,1,50,0,4,90,17,65,4,0,1,0,91.0,
Giorgio Chiellini,Juventus,Defender,24,667,0,20,0,6,87,21,52,8,2,2,0,160.5,
Medhi Benatia,Juventus,Defender,18,617,2,33,0,1,91,19,47,7,1,6,0,120.25,
Alex Sandro,Juventus,Defender,21,434,3,38,0,21,85,18,47,3,0,6,0,154.25,
Andrea Barzagli,Juventus,Defender,21,408,0,0,0,4,92,19,54,3,0,1,0,130.0,
Benedikt Höwedes,Juventus,Defender,1,45,0,0,0,1,98,19,0,3,0,0,0,12.25,
Daniele Rugani,Juventus,Defender,16,394,1,33,0,2,91,19,43,6,0,2,0,101.5,
Stephan Lichtsteiner,Juventus,Defender,23,120,0,0,0,7,82,17,53,2,0,5,0,136.75,
Miralem Pjanic,Juventus,Midfielder,26,899,4,44,0,54,90,19,40,3,1,2,0,226,
Sami Khedira,Juventus,Midfielder,22,439,7,64,0,16,87,15,45,2,0,1,0,178,
Juan Cuadrado,Juventus,Midfielder,16,424,4,44,0,31,89,18,62,1,1,3,0,146,
Claudio Marchisio,Juventus,Midfielder,12,80,0,40,0,3,89,18,36,1,0,1,0,69,
Douglas Costa,Juventus,Midfielder,24,578,3,53,0,40,84,16,59,0,0,1,0,187,
Blaise Matuidi,Juventus,Midfielder,26,249,3,38,0,13,92,15,41,2,1,3,0,175,
Marko Pjaca,FC Schalke 04,Midfielder,6,65,2,60,0,0,65,14,40,1,0,0,0,43,
Kwadwo Asamoah,Juventus,Midfielder,16,349,0,25,0,12,89,17,57,2,0,2,0,112,
Stefano Sturaro,Juventus,Midfielder,9,17,0,33,0,5,81,16,43,2,1,1,0,61,
Rodrigo Bentancur,Juventus,Midfielder,15,118,0,67,0,6,88,15,46,1,0,0,0,92,
Ferdinando Del Sole,Juventus,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gonzalo Higuaín,Juventus,Forward,29,806,15,60,0,29,80,16,56,1,0,4,0,251.25,
Moise Kean,Verona,Forward,19,23,4,40,0,8,77,13,35,0,0,5,0,114.0,
Paulo Dybala,Juventus,Forward,26,1382,21,58,0,42,87,16,64,1,0,0,0,282.5,
Mario Mandzukic,Juventus,Forward,27,379,4,56,0,23,75,14,55,2,2,3,1,180.75,
Federico Bernardesch..,Juventus,Forward,18,332,4,55,0,14,86,18,56,1,1,4,0,128.5,
Luca Pellegrini,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jonathan Silva,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Juan Jesus,Roma,Defender,18,347,0,50,0,3,86,20,44,5,0,3,0,103.75,
Aleksandar Kolarov,Roma,Defender,29,1082,2,35,0,71,82,19,59,4,1,2,0,282.75,
Elio Capradossi,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Héctor Moreno,Real Sociedad,Defender,5,114,1,57,0,2,85,21,55,4,0,1,0,47.5,
Federico Fazio,Roma,Defender,27,741,2,27,0,2,85,20,67,7,2,5,0,204.5,
Abdullahi Nura,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Bruno Peres,Roma,Defender,14,211,0,40,0,13,87,17,47,3,1,1,0,95.25,
Rick Karsdorp,Roma,Defender,1,12,0,0,0,0,80,17,50,1,0,0,0,8.0,
Kostas Manolas,Roma,Defender,24,584,2,43,0,2,88,20,57,8,2,0,0,177.5,
Leandro Castán,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Radja Nainggolan,Roma,Midfielder,26,529,3,32,0,50,84,18,57,2,1,5,0,215,
Kevin Strootman,Roma,Midfielder,27,243,1,40,0,24,85,16,36,2,0,2,0,174,
Lorenzo Pellegrini,Roma,Midfielder,23,357,3,65,0,36,84,17,42,2,1,2,1,176,
Daniele De Rossi,Roma,Midfielder,18,193,1,43,0,13,85,20,40,4,2,6,1,125,
Cengiz Ünder,Roma,Midfielder,21,287,5,52,0,19,74,20,55,1,0,0,0,159,
Maxime Gonalons,Roma,Midfielder,10,196,0,33,0,10,85,18,55,3,1,2,0,81,
Alessandro Florenzi,Roma,Midfielder,27,475,1,28,0,38,79,19,42,4,0,2,0,200,
Gerson,Roma,Midfielder,19,230,2,43,0,7,88,16,48,1,0,0,0,125,
Diego Perotti,Roma,Forward,23,620,5,59,0,34,86,15,55,1,0,0,0,191.5,
Edin Dzeko,Roma,Forward,30,712,14,46,0,43,70,15,53,1,0,6,0,250.75,
Patrik Schick,Roma,Forward,15,54,0,40,0,12,82,13,48,1,0,0,0,90.0,
Gregoire Defrel,Roma,Forward,15,49,1,50,0,5,84,12,39,1,0,1,0,89.25,
Marco Tumminello,Crotone,Forward,6,7,1,67,0,1,70,18,20,0,0,0,0,37.25,
Stephan El Shaarawy,Roma,Forward,27,639,6,51,0,31,84,14,43,1,0,1,0,206.75,
Stefan de Vrij,Lazio,Defender,29,848,5,100,0,3,92,20,55,7,0,3,0,215.75,
Patric,Lazio,Defender,10,87,0,0,0,7,88,17,39,3,0,1,0,62.75,
Jordan Lukaku,Lazio,Defender,24,134,1,75,0,22,81,14,38,1,0,2,0,142.5,
Dusan Basta,Lazio,Defender,10,39,0,38,0,6,76,17,36,3,0,0,0,60.5,
Wallace,Lazio,Defender,12,116,0,14,0,2,86,21,36,6,3,5,0,67.5,
Bastos,Lazio,Defender,18,376,4,57,0,3,91,19,51,5,0,4,0,135.75,
Martín Cáceres,Lazio,Defender,1,37,0,0,0,3,85,17,40,5,0,0,0,22.75,
Stefan Radu,Lazio,Defender,26,421,0,33,0,8,87,16,55,6,0,7,0,168.0,
Luiz Felipe,Lazio,Defender,13,126,0,0,0,1,90,17,42,4,0,2,0,73.25,
Mauricio,Lazio,Defender,1,0,0,0,0,0,100,9,0,0,0,0,0,2.0,
Adam Marusic,Lazio,Defender,26,299,3,55,0,30,80,15,44,2,0,2,1,184.5,
Lucas Leiva,Lazio,Midfielder,29,534,2,62,0,30,87,17,45,4,0,6,0,211,
Felipe Anderson,Lazio,Midfielder,15,217,2,47,0,23,78,15,50,1,0,0,0,117,
Luca Crecco,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marco Parolo,Lazio,Midfielder,29,249,4,28,0,27,82,16,35,4,0,3,1,207,
Luis Alberto,Lazio,Midfielder,30,1052,9,37,0,77,80,18,53,1,0,4,0,283,
Senad Lulic,Lazio,Midfielder,28,39,2,58,0,31,76,18,43,2,0,6,0,186,
