
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Luigi Sepe,Napoli,Goalkeeper,1,43,1,0.0,0,1.0,1.0,100,0,89,28,0,0,26.0,
José Reina,Napoli,Goalkeeper,30,557,15,0.7,0,1.43,2.05,87,13,83,30,1,0,147.6,
Marco Sportiello,Fiorentina,Goalkeeper,31,486,12,1.06,0,2.52,2.36,96,29,75,33,0,0,160.4,
Bartlomiej Dragowski,Fiorentina,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Mile Svilar,Benfica,Goalkeeper,3,62,1,0.67,0,2.67,4.0,100,33,58,44,1,0,62.4,
Julio César,Benfica,Goalkeeper,2,64,1,0.5,0,3.0,6.0,100,0,77,33,0,0,68.0,
Paulo Lopes,Benfica,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Bruno Varela,Benfica,Goalkeeper,18,159,7,0.67,0,1.78,2.91,78,44,62,40,0,0,99.6,
Mykyta Shevchenko,Shakhtar Donetsk,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Andriy Pyatov,Shakhtar Donetsk,Goalkeeper,8,59,0,1.38,0,3.75,2.73,100,25,73,36,0,0,91.0,
Yevgen Grytsenko,Shakhtar Donetsk,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Oleh Kudryk,Shakhtar Donetsk,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Tomás Vaclik,Basel,Goalkeeper,8,68,4,1.25,0,1.88,1.5,96,0,60,37,0,0,69.6,
Mirko Salvi,Basel,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Germano Vailati,Basel,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Craig Gordon,Celtic,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Dorus de Vries,Celtic,Goalkeeper,2,36,1,1.5,0,1.5,1.0,100,0,66,40,0,0,38.0,
Ross Doohan,Celtic,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Conor Hazard,Celtic,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Fabio Coltorti,RB Leipzig,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Philipp Köhn,RB Leipzig,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Yvon Mvogo,RB Leipzig,Goalkeeper,1,12,0,1.0,0,3.0,3.0,100,0,83,34,0,0,62.0,
Péter Gulácsi,RB Leipzig,Goalkeeper,28,17,6,1.43,0,2.04,1.43,100,29,71,37,1,0,119.8,
